model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,1,0.23425,0.11156,0.42566,0.23751,0.30489469246150325,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,2,0.18892,0.09481,0.44633,0.23866,0.31101510328572535,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,3,0.17793,0.10057,0.16229,0.3183,0.2149728750073556,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,4,0.18339,0.12238,0.30536,0.23538,0.2658417605498653,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,5,0.30853,0.17769,0.35614,0.40874,0.3806313764245625,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,6,0.39381,0.2376,0.32991,0.44841,0.3801391281216208,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,7,0.19325,0.10185,0.20766,0.25524,0.22900470252704908,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,8,0.46869,0.26242,0.44689,0.51314,0.4777291013817509,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,9,0.4724,0.28284,0.48981,0.5733,0.5282766091932837,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,10,0.4993,0.29659,0.47373,0.56548,0.515554777955836,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,11,0.41478,0.23647,0.3696,0.48521,0.4195870801693714,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,12,0.54039,0.31829,0.51395,0.60359,0.5551749029112558,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,13,0.45553,0.27839,0.3938,0.52158,0.44877144792277657,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,14,0.42146,0.25631,0.44233,0.51691,0.4767207378753214,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,15,0.50922,0.3028,0.50643,0.57857,0.5401017605524977,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,16,0.12018,0.06073,0.18355,0.15971,0.17080213540706518,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,17,0.46885,0.29323,0.40607,0.54381,0.4649533134706858,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,18,0.50359,0.31128,0.49127,0.56731,0.5265589444345004,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,19,0.55696,0.32721,0.58643,0.55838,0.5720613610987219,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,20,0.60054,0.38981,0.55063,0.58669,0.5680883387256286,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,21,0.56704,0.36022,0.51517,0.62489,0.5647502434954609,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,22,0.53942,0.33188,0.50824,0.56916,0.5369776840537062,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,23,0.54744,0.33918,0.5694,0.52757,0.5476874627377706,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,24,0.55712,0.34698,0.54717,0.57634,0.5613763256218802,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,25,0.60755,0.38243,0.56825,0.64429,0.6038857151099313,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,26,0.60354,0.37274,0.56887,0.63367,0.5995240954973642,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,27,0.59595,0.36966,0.56953,0.61673,0.5921909815718374,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,28,0.59976,0.38867,0.612,0.60571,0.608838754711213,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,29,0.59509,0.36227,0.56545,0.65622,0.60746289750865,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,30,0.61334,0.3832,0.5888,0.67017,0.6268554389694536,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,31,0.59832,0.3691,0.57659,0.64023,0.6067458057883608,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,32,0.57915,0.36304,0.53732,0.63123,0.580501482349424,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,33,0.59007,0.3645,0.56634,0.60819,0.5865194155955262,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,34,0.60013,0.37377,0.59196,0.62139,0.6063180853005263,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,35,0.61255,0.39987,0.57537,0.6494,0.6101476652754312,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,36,0.64261,0.39551,0.65088,0.65515,0.6530080197233961,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,37,0.62878,0.38274,0.60248,0.68571,0.6414062534248508,25902645,79.323648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
