model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m_width0.6640,33,0.54807,0.33116,0.51603,0.60832,0.5583872808284267,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,34,0.57438,0.34874,0.5463,0.59334,0.5688491839523281,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,35,0.54336,0.34617,0.52237,0.60005,0.5585219766214442,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,36,0.53816,0.32968,0.44831,0.63143,0.5243417550516565,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,37,0.58447,0.3604,0.56184,0.60504,0.5826403290821828,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,38,0.5995,0.36461,0.54121,0.62003,0.5779450179113895,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,39,0.59907,0.37513,0.52562,0.66857,0.5885391158855889,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,40,0.55608,0.33648,0.53727,0.60441,0.5688658130119045,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,41,0.61253,0.38611,0.51499,0.61693,0.561369674004734,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,42,0.56913,0.36101,0.47983,0.61177,0.5378263083542159,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,43,0.59132,0.35652,0.43609,0.67178,0.5288644700185681,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,44,0.57788,0.34434,0.56409,0.59395,0.5786350307410981,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,45,0.62387,0.37554,0.55966,0.64098,0.5975660760922529,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,46,0.53848,0.32586,0.52031,0.58812,0.5521408067261332,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,47,0.5837,0.3527,0.54155,0.63177,0.5831913604126895,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,48,0.59065,0.36081,0.56468,0.64427,0.6018551364402152,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,49,0.55336,0.34269,0.5138,0.6366,0.5686458275377533,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,50,0.57742,0.35796,0.46605,0.6486,0.542376584577632,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,51,0.56782,0.34931,0.5103,0.61911,0.5594634950987156,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,52,0.60889,0.37245,0.53147,0.61983,0.5722592723003802,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,53,0.58333,0.35977,0.5236,0.60537,0.561523746423234,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,54,0.61051,0.37638,0.61513,0.60051,0.6077320856498569,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,55,0.58079,0.35029,0.51374,0.63,0.5659611450149807,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,56,0.58072,0.36353,0.52083,0.6032,0.5589969235691583,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,57,0.58234,0.35293,0.55195,0.61482,0.5816911627822264,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,58,0.59896,0.36649,0.59417,0.58416,0.5891224821564509,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,59,0.61411,0.37642,0.56008,0.66105,0.6063906119736585,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,60,0.6082,0.36795,0.5512,0.6322,0.588927902652874,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,61,0.61594,0.37648,0.59202,0.6224,0.606830006092944,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,62,0.61045,0.37329,0.62698,0.59371,0.6098916117928304,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,63,0.6007,0.37057,0.55233,0.65136,0.5977713012481637,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,64,0.62373,0.38799,0.55244,0.64752,0.5962131217702289,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,65,0.58604,0.36659,0.52357,0.65286,0.581110495651606,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,66,0.56305,0.34402,0.53844,0.60592,0.5701904379735658,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,67,0.62862,0.39231,0.63993,0.62387,0.6317979571129674,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,68,0.62311,0.3879,0.59432,0.63857,0.6156509054330754,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,69,0.57643,0.36249,0.50336,0.65571,0.5695224371258255,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,70,0.60074,0.37583,0.54506,0.6514,0.5935043110504374,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,71,0.58547,0.3607,0.54838,0.63529,0.5886443522260523,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,72,0.61471,0.37218,0.64103,0.60425,0.622096841673662,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,73,0.59349,0.37544,0.54218,0.62745,0.5817067636769049,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,74,0.61085,0.37393,0.64144,0.58511,0.6119815065014781,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,75,0.59276,0.36352,0.57919,0.61452,0.596332172470201,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,76,0.61746,0.37641,0.57663,0.63643,0.6050560250930662,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,77,0.63504,0.39725,0.5669,0.66191,0.6107319748369473,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,78,0.60624,0.37552,0.57602,0.61249,0.5936954502691657,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,79,0.62874,0.38806,0.56696,0.67358,0.6156881951403294,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,80,0.59894,0.37631,0.57842,0.61402,0.5956885854209892,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,81,0.58594,0.36801,0.5652,0.62051,0.5915649728849451,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,82,0.59583,0.3722,0.54751,0.64162,0.590840978193645,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,83,0.59875,0.37974,0.58714,0.61281,0.5997004265172717,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,84,0.60646,0.3808,0.53246,0.66373,0.590892209096723,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,85,0.60395,0.38289,0.56676,0.65895,0.6093880314261861,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,86,0.61464,0.39048,0.57227,0.62589,0.5978802001397159,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,87,0.6063,0.3809,0.56503,0.64481,0.6022895495267123,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,88,0.60545,0.38041,0.58589,0.65284,0.6175557669543665,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,89,0.59202,0.37194,0.54866,0.64975,0.594941355629046,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,90,0.60716,0.38114,0.56212,0.64326,0.5999590356563076,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,91,0.60006,0.38389,0.56253,0.63143,0.5949919895133882,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,92,0.63204,0.39676,0.57714,0.65788,0.6148707926992154,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,93,0.62534,0.3962,0.57206,0.63571,0.602207808771039,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,94,0.61446,0.39473,0.52729,0.69094,0.598123100891787,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,95,0.61426,0.39158,0.54863,0.67588,0.6056431460742617,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,96,0.60614,0.3842,0.5202,0.67737,0.5884714446749765,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,97,0.61878,0.39157,0.55513,0.67194,0.6079751802255715,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,98,0.61699,0.39163,0.54156,0.67762,0.6019978792298085,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,99,0.6132,0.39006,0.55407,0.66143,0.6030086714927164,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,100,0.61202,0.39167,0.56982,0.65435,0.6091665651007546,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,100,0.6354098297213303,0.39662700299756715,0.5660868011377035,0.6587082537082537,0.6088954176440591,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
