model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,46,0.67446,0.42231,0.6733,0.64143,0.6569787241481847,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,47,0.62658,0.38921,0.59374,0.63019,0.6114222391798456,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,48,0.70586,0.439,0.68717,0.65955,0.673076769483877,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,49,0.61679,0.3852,0.60214,0.63414,0.6177258543367055,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,50,0.66253,0.39875,0.59097,0.67437,0.629921505523709,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,51,0.65871,0.40987,0.60527,0.69474,0.6469262233362459,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,52,0.65514,0.41234,0.65582,0.63388,0.6446633815611036,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,53,0.6554,0.40438,0.61386,0.6594,0.6358155977564394,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,54,0.68938,0.4214,0.6983,0.65826,0.6776890929994415,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,55,0.61293,0.38307,0.64787,0.62753,0.6375378094710384,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,56,0.66888,0.41167,0.6732,0.67146,0.6723288742130558,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,57,0.69185,0.4207,0.70462,0.65713,0.6800469111065319,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,58,0.66842,0.4181,0.6257,0.70143,0.661404310052021,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,59,0.6941,0.42602,0.66772,0.68,0.673804054254093,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,60,0.68334,0.4193,0.63621,0.68257,0.6585751371717355,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
