model_name,epoch,train_loss_sum,train_loss_box,train_loss_cls,train_loss_dfl,accuracy_mAP50,precision_mean,recall_mean,f1_mean,mAP50,mAP50_95,fitness,params,GFLOPs,data_aug_runner_explicit,data_aug_effective_summary,effective_mosaic,effective_mixup,effective_close_mosaic,effective_copy_paste,effective_cutmix,effective_degrees,effective_translate,effective_scale,effective_shear,effective_fliplr,effective_flipud,effective_hsv_h,effective_hsv_s,effective_hsv_v,effective_erasing,effective_auto_augment
yolov8m,40,3.9517555236816406,1.20531165599823,1.2745407819747925,1.4719030857086182,0.55684,0.52854,0.58193,0.5539515379969256,0.55684,0.34378,0.34378,25933840,0.0,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
yolov8m,41,3.9347044229507446,1.1997902393341064,1.2604162693023682,1.47449791431427,0.57886,0.56567,0.64819,0.6041250841113439,0.57886,0.36586,0.36586,25933840,0.0,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
yolov8m,42,3.8956793546676636,1.1890078783035278,1.2420099973678589,1.4646614789962769,0.55586,0.51392,0.63835,0.5694165985397784,0.55586,0.35506,0.35506,25933840,0.0,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
yolov8m,43,3.853839635848999,1.178322196006775,1.218540906906128,1.4569765329360962,0.59619,0.50662,0.64429,0.5672210681977153,0.59619,0.37771,0.37771,25933840,0.0,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
yolov8m,44,3.8921453952789307,1.1952428817749023,1.228255271911621,1.4686472415924072,0.62597,0.59251,0.58121,0.5868056045729929,0.62597,0.38833,0.38833,25933840,0.0,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
yolov8m,45,3.8333868980407715,1.1870096921920776,1.189064621925354,1.4573125839233398,0.61118,0.54855,0.65386,0.5965933466948905,0.61118,0.37716,0.37716,25933840,0.0,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
yolov8m,46,3.832245111465454,1.1816235780715942,1.197347640991211,1.453273892402649,0.59888,0.53765,0.61278,0.5727617795080336,0.59888,0.37988,0.37988,25933840,0.0,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
yolov8m,47,3.7906535863876343,1.171032190322876,1.177077054977417,1.4425443410873413,0.61727,0.56164,0.64143,0.5988890840926971,0.61727,0.39064,0.39064,25933840,0.0,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
yolov8m,48,3.7804540395736694,1.169216513633728,1.1665524244308472,1.4446851015090942,0.61045,0.54387,0.65266,0.5933193387540693,0.61045,0.38938,0.38938,25933840,0.0,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
yolov8m,49,3.7768547534942627,1.1779173612594604,1.1477655172348022,1.451171875,0.64253,0.63995,0.64997,0.6449210827023034,0.64253,0.40032,0.40032,25933840,0.0,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
yolov8m,50,3.7093193531036377,1.1548049449920654,1.1248791217803955,1.4296352863311768,0.66327,0.57473,0.6967,0.6298646264437444,0.66327,0.41054,0.41054,25933840,0.0,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
yolov8m,51,3.679641008377075,1.143113374710083,1.1143065690994263,1.422221064567566,0.62238,0.55982,0.68784,0.6172620566495541,0.62238,0.3831,0.3831,25933840,0.0,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
yolov8m,52,3.6862659454345703,1.1428849697113037,1.1179805994033813,1.4254003763198853,0.60387,0.53969,0.64349,0.5870368297295533,0.60387,0.37448,0.37448,25933840,0.0,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
yolov8m,53,3.7217626571655273,1.1603015661239624,1.1230982542037964,1.4383628368377686,0.6487,0.57865,0.69527,0.6316220571145507,0.6487,0.40023,0.40023,25933840,0.0,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
yolov8m,54,3.6789016723632812,1.1495177745819092,1.105664610862732,1.4237192869186401,0.61628,0.5904,0.68429,0.6338871662909147,0.61628,0.38226,0.38226,25933840,0.0,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
yolov8m,55,3.618303656578064,1.1258325576782227,1.079134464263916,1.4133366346359253,0.60538,0.56902,0.66406,0.6128773821644882,0.60538,0.37536,0.37536,25933840,0.0,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
yolov8m,56,3.6344465017318726,1.1331253051757812,1.0847500562667847,1.4165711402893066,0.62462,0.61524,0.6311,0.6230690886911893,0.62462,0.39205,0.39205,25933840,0.0,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
