model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,36,0.56776,0.3514,0.52432,0.60673,0.5625227418765195,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,37,0.55964,0.36057,0.44555,0.62429,0.5199888011286548,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,38,0.59912,0.37577,0.57378,0.62039,0.5961753756997779,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,39,0.61369,0.3994,0.4768,0.62892,0.5423960062216995,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,40,0.52993,0.32349,0.50005,0.53811,0.5183823408718132,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,41,0.58513,0.38356,0.4832,0.65852,0.5573991241280196,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,42,0.62328,0.38264,0.53461,0.66857,0.5941325615447446,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,43,0.62199,0.3795,0.50082,0.6728,0.5742091920719021,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,44,0.6064,0.38919,0.49007,0.65429,0.5603969035962805,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,45,0.58482,0.35074,0.57984,0.61749,0.5980730485324863,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,46,0.58716,0.37049,0.52126,0.66616,0.584868979130733,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,47,0.6441,0.40915,0.58528,0.66339,0.6218919317348682,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,48,0.65043,0.41416,0.55157,0.70544,0.6190874230112575,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,49,0.61256,0.3911,0.53816,0.59999,0.5673955425905483,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,50,0.61298,0.38297,0.52482,0.65728,0.5836286094234128,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,51,0.63536,0.40884,0.59992,0.64717,0.6226498911861833,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,52,0.63128,0.40713,0.55749,0.64143,0.5965215538980111,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,53,0.6532,0.41286,0.64167,0.63033,0.6359494514145944,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,54,0.62601,0.39301,0.59707,0.64344,0.6193883496298945,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,55,0.63099,0.3991,0.55655,0.68756,0.6151570488135171,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,56,0.67974,0.43032,0.58598,0.7086,0.6414828407663941,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,57,0.64126,0.40989,0.6226,0.65857,0.6400800549492729,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
