model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8n,48,0.60823,0.36664,0.60635,0.62516,0.6156113486690195,3157200,8.8575488,runner_kw explicit: 
yolov8n,49,0.56897,0.34571,0.57823,0.59275,0.5853999769418902,3157200,8.8575488,runner_kw explicit: 
yolov8n,50,0.56876,0.35593,0.61565,0.58966,0.6023747898875789,3157200,8.8575488,runner_kw explicit: 
yolov8n,51,0.59147,0.36228,0.59854,0.64429,0.620572944971862,3157200,8.8575488,runner_kw explicit: 
yolov8n,52,0.5519,0.32894,0.60059,0.5935,0.5970239512929535,3157200,8.8575488,runner_kw explicit: 
yolov8n,53,0.623,0.38403,0.5702,0.64255,0.6042168789935236,3157200,8.8575488,runner_kw explicit: 
yolov8n,54,0.66093,0.39382,0.63166,0.66083,0.6459158334682311,3157200,8.8575488,runner_kw explicit: 
yolov8n,55,0.54878,0.33903,0.5258,0.5993,0.5601492134027551,3157200,8.8575488,runner_kw explicit: 
yolov8n,56,0.59683,0.36793,0.5763,0.62278,0.5986391466786214,3157200,8.8575488,runner_kw explicit: 
yolov8n,57,0.51783,0.30903,0.51049,0.5996,0.5514684467020228,3157200,8.8575488,runner_kw explicit: 
yolov8n,58,0.58821,0.36725,0.64355,0.58427,0.6124789602705506,3157200,8.8575488,runner_kw explicit: 
yolov8n,59,0.62174,0.38857,0.59306,0.63335,0.6125431968097027,3157200,8.8575488,runner_kw explicit: 
yolov8n,60,0.58992,0.36959,0.59754,0.60113,0.5993296239994332,3157200,8.8575488,runner_kw explicit: 
yolov8n,61,0.61253,0.38188,0.63033,0.59207,0.6106012485269873,3157200,8.8575488,runner_kw explicit: 
yolov8n,62,0.60601,0.37602,0.60629,0.63364,0.6196633609956854,3157200,8.8575488,runner_kw explicit: 
yolov8n,63,0.59429,0.36952,0.58923,0.605,0.5970108773011923,3157200,8.8575488,runner_kw explicit: 
yolov8n,64,0.65267,0.39812,0.68542,0.60192,0.6409619935676348,3157200,8.8575488,runner_kw explicit: 
yolov8n,65,0.64892,0.39542,0.62165,0.65725,0.6389545116892337,3157200,8.8575488,runner_kw explicit: 
yolov8n,66,0.64004,0.38315,0.65523,0.66455,0.6598570920906061,3157200,8.8575488,runner_kw explicit: 
yolov8n,67,0.62488,0.38457,0.64147,0.58968,0.6144856915886654,3157200,8.8575488,runner_kw explicit: 
yolov8n,68,0.61163,0.36768,0.65696,0.61262,0.6340157141726918,3157200,8.8575488,runner_kw explicit: 
yolov8n,69,0.57865,0.3487,0.58405,0.59143,0.5877168331229901,3157200,8.8575488,runner_kw explicit: 
yolov8n,70,0.63229,0.38866,0.66846,0.58583,0.6244232542708429,3157200,8.8575488,runner_kw explicit: 
yolov8n,71,0.59214,0.36197,0.60374,0.63714,0.6199904964213945,3157200,8.8575488,runner_kw explicit: 
yolov8n,72,0.61131,0.37672,0.63955,0.57286,0.6043708201016121,3157200,8.8575488,runner_kw explicit: 
yolov8n,73,0.60783,0.36714,0.64651,0.58917,0.6165096087978954,3157200,8.8575488,runner_kw explicit: 
