model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8l,1,0.00679,0.00252,0.0118,0.2001,0.02228579518630351,43691520,165.742848,runner_kw explicit: 
yolov8l,2,0.24953,0.14027,0.68251,0.24625,0.36191930638662095,43691520,165.742848,runner_kw explicit: 
yolov8l,3,0.19649,0.12028,0.67562,0.23654,0.3504015848092984,43691520,165.742848,runner_kw explicit: 
yolov8l,4,0.28396,0.15296,0.24327,0.33407,0.2815298053135388,43691520,165.742848,runner_kw explicit: 
yolov8l,5,0.44573,0.26489,0.41493,0.53026,0.4655588438298484,43691520,165.742848,runner_kw explicit: 
yolov8l,6,0.33742,0.22608,0.57725,0.32657,0.4171461850806387,43691520,165.742848,runner_kw explicit: 
yolov8l,7,0.37593,0.22816,0.36763,0.47406,0.4141160707619027,43691520,165.742848,runner_kw explicit: 
yolov8l,8,0.42379,0.24402,0.38866,0.54876,0.4550384280253728,43691520,165.742848,runner_kw explicit: 
yolov8l,9,0.51493,0.3212,0.4653,0.55283,0.5053024643213487,43691520,165.742848,runner_kw explicit: 
yolov8l,10,0.53843,0.33233,0.49249,0.61145,0.5455604661480283,43691520,165.742848,runner_kw explicit: 
yolov8l,11,0.47999,0.29579,0.47279,0.60205,0.5296476117370681,43691520,165.742848,runner_kw explicit: 
yolov8l,12,0.47589,0.29703,0.43713,0.57439,0.496447130456643,43691520,165.742848,runner_kw explicit: 
yolov8l,13,0.44199,0.25918,0.43464,0.42434,0.4294282465244483,43691520,165.742848,runner_kw explicit: 
yolov8l,14,0.53284,0.33341,0.44522,0.61448,0.5163325197692589,43691520,165.742848,runner_kw explicit: 
yolov8l,15,0.4187,0.2666,0.42799,0.50111,0.46167273468898756,43691520,165.742848,runner_kw explicit: 
yolov8l,16,0.43314,0.25888,0.42591,0.52218,0.4691573243041598,43691520,165.742848,runner_kw explicit: 
yolov8l,17,0.561,0.33881,0.51985,0.61051,0.5615443283550714,43691520,165.742848,runner_kw explicit: 
yolov8l,18,0.50972,0.32357,0.44284,0.61411,0.5145985569795027,43691520,165.742848,runner_kw explicit: 
yolov8l,19,0.54833,0.33984,0.52359,0.54738,0.5352207703292013,43691520,165.742848,runner_kw explicit: 
yolov8l,20,0.4386,0.27496,0.4018,0.53145,0.4576193088663728,43691520,165.742848,runner_kw explicit: 
yolov8l,21,0.42978,0.23327,0.45976,0.53336,0.49383275656467107,43691520,165.742848,runner_kw explicit: 
yolov8l,22,0.56803,0.3552,0.49048,0.57688,0.5301830730020517,43691520,165.742848,runner_kw explicit: 
yolov8l,23,0.5133,0.32574,0.51291,0.52548,0.5191189183249847,43691520,165.742848,runner_kw explicit: 
yolov8l,24,0.5504,0.35752,0.50415,0.5463,0.5243793517059122,43691520,165.742848,runner_kw explicit: 
yolov8l,25,0.59453,0.35905,0.56102,0.6512,0.602755645014434,43691520,165.742848,runner_kw explicit: 
yolov8l,26,0.57509,0.35231,0.54458,0.62752,0.5831155048199103,43691520,165.742848,runner_kw explicit: 
yolov8l,27,0.58922,0.36071,0.5653,0.61438,0.5888190254979411,43691520,165.742848,runner_kw explicit: 
yolov8l,28,0.57667,0.35229,0.52751,0.65538,0.5845336486058851,43691520,165.742848,runner_kw explicit: 
yolov8l,29,0.60384,0.37717,0.58244,0.64337,0.6113907094895525,43691520,165.742848,runner_kw explicit: 
yolov8l,30,0.60347,0.36954,0.62579,0.5919,0.6083733971695517,43691520,165.742848,runner_kw explicit: 
yolov8l,31,0.60645,0.3617,0.61357,0.608,0.6107723012184232,43691520,165.742848,runner_kw explicit: 
yolov8l,32,0.61113,0.36558,0.57151,0.62867,0.5987288435063083,43691520,165.742848,runner_kw explicit: 
yolov8l,33,0.66138,0.39459,0.63783,0.6578,0.647661097689427,43691520,165.742848,runner_kw explicit: 
yolov8l,34,0.61191,0.3893,0.60781,0.64641,0.6265160212716855,43691520,165.742848,runner_kw explicit: 
yolov8l,35,0.59444,0.37068,0.56251,0.64588,0.6013190423616536,43691520,165.742848,runner_kw explicit: 
yolov8l,36,0.59437,0.37766,0.53804,0.65423,0.590473482012807,43691520,165.742848,runner_kw explicit: 
yolov8l,37,0.59659,0.38368,0.58045,0.63365,0.6058844287944931,43691520,165.742848,runner_kw explicit: 
yolov8l,38,0.57045,0.3607,0.54616,0.60169,0.572581801454395,43691520,165.742848,runner_kw explicit: 
yolov8l,39,0.63722,0.40546,0.6388,0.63571,0.6372512542069994,43691520,165.742848,runner_kw explicit: 
yolov8l,40,0.60103,0.37508,0.58695,0.62768,0.606632103603067,43691520,165.742848,runner_kw explicit: 
yolov8l,41,0.59898,0.36715,0.59541,0.63429,0.6142353564278976,43691520,165.742848,runner_kw explicit: 
yolov8l,42,0.65331,0.40823,0.61007,0.67282,0.6399103545895283,43691520,165.742848,runner_kw explicit: 
yolov8l,43,0.60406,0.38021,0.62481,0.61467,0.6196985230898283,43691520,165.742848,runner_kw explicit: 
yolov8l,44,0.60534,0.38214,0.60534,0.61958,0.6123772282266496,43691520,165.742848,runner_kw explicit: 
yolov8l,45,0.61935,0.39603,0.56849,0.6335,0.5992369570457331,43691520,165.742848,runner_kw explicit: 
yolov8l,46,0.61125,0.39023,0.57248,0.66205,0.6140156723606441,43691520,165.742848,runner_kw explicit: 
yolov8l,47,0.62874,0.401,0.56518,0.64661,0.6031590288741422,43691520,165.742848,runner_kw explicit: 
yolov8l,48,0.61653,0.38455,0.58071,0.62631,0.6026486389615726,43691520,165.742848,runner_kw explicit: 
yolov8l,49,0.62725,0.40021,0.61127,0.63767,0.6241909793900233,43691520,165.742848,runner_kw explicit: 
yolov8l,50,0.61928,0.38181,0.58514,0.6789,0.628542682193104,43691520,165.742848,runner_kw explicit: 
yolov8l,51,0.58314,0.36958,0.5779,0.62517,0.6006063537445031,43691520,165.742848,runner_kw explicit: 
yolov8l,52,0.62151,0.40139,0.59257,0.68253,0.6343766012072508,43691520,165.742848,runner_kw explicit: 
yolov8l,53,0.63393,0.40869,0.60802,0.66258,0.6341285874385061,43691520,165.742848,runner_kw explicit: 
yolov8l,54,0.65151,0.40761,0.63758,0.67518,0.6558415314294648,43691520,165.742848,runner_kw explicit: 
yolov8l,55,0.6534,0.4096,0.64875,0.68522,0.6664864652123612,43691520,165.742848,runner_kw explicit: 
yolov8l,56,0.67435,0.41681,0.64964,0.72349,0.6845790909814187,43691520,165.742848,runner_kw explicit: 
yolov8l,57,0.62127,0.38863,0.64576,0.64383,0.6447935557807948,43691520,165.742848,runner_kw explicit: 
yolov8l,58,0.62881,0.39336,0.6146,0.64421,0.629056753600123,43691520,165.742848,runner_kw explicit: 
yolov8l,59,0.67072,0.41066,0.66447,0.66978,0.6671144337263128,43691520,165.742848,runner_kw explicit: 
yolov8l,60,0.65246,0.40478,0.64763,0.65857,0.653054186341561,43691520,165.742848,runner_kw explicit: 
yolov8l,61,0.6281,0.39561,0.63782,0.64112,0.6394657425675642,43691520,165.742848,runner_kw explicit: 
yolov8l,62,0.6409,0.39811,0.61959,0.63563,0.6275075153354571,43691520,165.742848,runner_kw explicit: 
yolov8l,63,0.64077,0.39375,0.63385,0.65335,0.643452295680047,43691520,165.742848,runner_kw explicit: 
yolov8l,64,0.65438,0.41652,0.64135,0.67148,0.6560692519209219,43691520,165.742848,runner_kw explicit: 
yolov8l,65,0.66488,0.40645,0.66079,0.65503,0.6578973928039868,43691520,165.742848,runner_kw explicit: 
yolov8l,66,0.62327,0.39024,0.61368,0.64625,0.6295440222864528,43691520,165.742848,runner_kw explicit: 
yolov8l,67,0.62168,0.37677,0.63984,0.62267,0.6311382449242927,43691520,165.742848,runner_kw explicit: 
yolov8l,68,0.64347,0.39734,0.64945,0.67223,0.6606436860657189,43691520,165.742848,runner_kw explicit: 
yolov8l,69,0.63039,0.39726,0.62249,0.66439,0.6427578812316278,43691520,165.742848,runner_kw explicit: 
yolov8l,70,0.63339,0.38498,0.68136,0.60429,0.6405149681479092,43691520,165.742848,runner_kw explicit: 
yolov8l,71,0.65701,0.39676,0.58821,0.7192,0.6471430262881214,43691520,165.742848,runner_kw explicit: 
yolov8l,72,0.6108,0.38082,0.59043,0.67492,0.6298542151968785,43691520,165.742848,runner_kw explicit: 
yolov8l,73,0.63782,0.39493,0.66989,0.66286,0.6663564590503348,43691520,165.742848,runner_kw explicit: 
yolov8l,74,0.6333,0.39405,0.61148,0.68764,0.6473275866735579,43691520,165.742848,runner_kw explicit: 
yolov8l,75,0.64806,0.39279,0.63641,0.70054,0.6669369256885695,43691520,165.742848,runner_kw explicit: 
yolov8l,76,0.65992,0.40059,0.66642,0.67707,0.6717027881110601,43691520,165.742848,runner_kw explicit: 
yolov8l,77,0.63855,0.3962,0.62089,0.68077,0.6494526762744116,43691520,165.742848,runner_kw explicit: 
yolov8l,78,0.64914,0.39936,0.64749,0.66767,0.6574251776204739,43691520,165.742848,runner_kw explicit: 
yolov8l,79,0.6546,0.4032,0.65114,0.67392,0.6623341868287758,43691520,165.742848,runner_kw explicit: 
yolov8l,80,0.63404,0.38973,0.65569,0.67577,0.6655785848612308,43691520,165.742848,runner_kw explicit: 
yolov8l,81,0.62798,0.38293,0.64677,0.65568,0.6511945235512678,43691520,165.742848,runner_kw explicit: 
yolov8l,82,0.64874,0.39806,0.65706,0.65712,0.6570899986298246,43691520,165.742848,runner_kw explicit: 
yolov8l,83,0.62859,0.38872,0.61454,0.69457,0.6521087575523431,43691520,165.742848,runner_kw explicit: 
yolov8l,84,0.63423,0.38682,0.69393,0.59087,0.6382665303544222,43691520,165.742848,runner_kw explicit: 
yolov8l,85,0.62253,0.38096,0.59038,0.69593,0.6388244721718412,43691520,165.742848,runner_kw explicit: 
yolov8l,86,0.61832,0.38314,0.61177,0.64711,0.628943957644391,43691520,165.742848,runner_kw explicit: 
yolov8l,87,0.63089,0.38623,0.6203,0.68153,0.6494750604912704,43691520,165.742848,runner_kw explicit: 
yolov8l,88,0.6566,0.39433,0.68433,0.64105,0.6619833504348474,43691520,165.742848,runner_kw explicit: 
yolov8l,89,0.6331,0.3875,0.62867,0.64302,0.6357640358887497,43691520,165.742848,runner_kw explicit: 
yolov8l,90,0.64084,0.38452,0.64584,0.66971,0.6575584453645565,43691520,165.742848,runner_kw explicit: 
yolov8l,91,0.62469,0.37927,0.63467,0.66223,0.64815716570233,43691520,165.742848,runner_kw explicit: 
yolov8l,92,0.63195,0.38455,0.62439,0.65256,0.6381642795719188,43691520,165.742848,runner_kw explicit: 
yolov8l,93,0.64082,0.39264,0.63584,0.66822,0.6516279999381535,43691520,165.742848,runner_kw explicit: 
yolov8l,94,0.64301,0.39196,0.61673,0.68857,0.6506730653484635,43691520,165.742848,runner_kw explicit: 
yolov8l,95,0.65373,0.39793,0.63602,0.67694,0.6558423391415916,43691520,165.742848,runner_kw explicit: 
yolov8l,96,0.65784,0.39923,0.61562,0.69771,0.6540994726377573,43691520,165.742848,runner_kw explicit: 
yolov8l,97,0.65043,0.3938,0.59509,0.70443,0.6451601340489987,43691520,165.742848,runner_kw explicit: 
yolov8l,98,0.65925,0.39968,0.63204,0.67816,0.6542882711031489,43691520,165.742848,runner_kw explicit: 
yolov8l,99,0.66278,0.4019,0.63944,0.69365,0.6654427773063594,43691520,165.742848,runner_kw explicit: 
yolov8l,100,0.65495,0.39709,0.64106,0.68535,0.6624655589141648,43691520,165.742848,runner_kw explicit: 
yolov8l,100,0.6732845925765293,0.4164669420699386,0.6490838060352214,0.7237235648346759,0.6843745975551686,43691520,165.742848,runner_kw explicit: 
