model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,1,0.0785,0.02855,0.72834,0.05124,0.09574422535198987,25907346,79.33166080000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,2,0.10392,0.05636,0.43573,0.16638,0.24080901297065185,25907346,79.33166080000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,3,0.1642,0.0806,0.15155,0.32065,0.20582171749215203,25907346,79.33166080000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,4,0.20585,0.12236,0.67374,0.19548,0.30303650445191893,25907346,79.33166080000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,5,0.38287,0.23718,0.34472,0.4284,0.3820313741716913,25907346,79.33166080000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,6,0.28483,0.16167,0.28924,0.4155,0.34105973834273484,25907346,79.33166080000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,7,0.28954,0.17177,0.26314,0.37123,0.30797629837428003,25907346,79.33166080000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,8,0.48648,0.28037,0.47452,0.55776,0.5127838865419142,25907346,79.33166080000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,9,0.36053,0.2051,0.2886,0.43917,0.348309114142726,25907346,79.33166080000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,10,0.35724,0.21607,0.42113,0.36144,0.3890085927132538,25907346,79.33166080000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,11,0.50919,0.31049,0.47126,0.61785,0.5346897760551875,25907346,79.33166080000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
