model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8s,1,0.31765,0.19897,0.36317,0.45055,0.40216842034065503,11166560,28.816844800000002,runner_kw explicit: 
yolov8s,2,0.1493,0.07307,0.37499,0.16788,0.23192779560441373,11166560,28.816844800000002,runner_kw explicit: 
yolov8s,3,0.1002,0.05503,0.95649,0.07359,0.1366653058013585,11166560,28.816844800000002,runner_kw explicit: 
yolov8s,4,0.25164,0.13296,0.26582,0.28977,0.2772787897545361,11166560,28.816844800000002,runner_kw explicit: 
yolov8s,5,0.24654,0.14795,0.25109,0.31261,0.2784929746314024,11166560,28.816844800000002,runner_kw explicit: 
yolov8s,6,0.44117,0.27678,0.41161,0.50029,0.45163804561854193,11166560,28.816844800000002,runner_kw explicit: 
yolov8s,7,0.40139,0.22914,0.44158,0.47026,0.4554689656075019,11166560,28.816844800000002,runner_kw explicit: 
yolov8s,8,0.51787,0.3153,0.49333,0.52354,0.5079862483891667,11166560,28.816844800000002,runner_kw explicit: 
yolov8s,9,0.5822,0.34597,0.55987,0.55796,0.5589133682218592,11166560,28.816844800000002,runner_kw explicit: 
yolov8s,10,0.51758,0.31627,0.5323,0.56643,0.5488349075746098,11166560,28.816844800000002,runner_kw explicit: 
yolov8s,11,0.47022,0.30033,0.44915,0.52759,0.48522032168183427,11166560,28.816844800000002,runner_kw explicit: 
yolov8s,12,0.58849,0.35812,0.52445,0.60844,0.5633315820595438,11166560,28.816844800000002,runner_kw explicit: 
yolov8s,13,0.46851,0.2777,0.47662,0.47869,0.4776527573243474,11166560,28.816844800000002,runner_kw explicit: 
yolov8s,14,0.44873,0.28286,0.47646,0.48851,0.4824097632045738,11166560,28.816844800000002,runner_kw explicit: 
yolov8s,15,0.15461,0.08607,0.31718,0.19037,0.23793343158262648,11166560,28.816844800000002,runner_kw explicit: 
yolov8s,16,0.53065,0.3315,0.54575,0.58224,0.5634047819567872,11166560,28.816844800000002,runner_kw explicit: 
yolov8s,17,0.56263,0.34438,0.59968,0.53903,0.5677398291043656,11166560,28.816844800000002,runner_kw explicit: 
yolov8s,18,0.47993,0.30765,0.49174,0.52693,0.508727179949828,11166560,28.816844800000002,runner_kw explicit: 
yolov8s,19,0.61374,0.38485,0.55508,0.66937,0.6068910933067034,11166560,28.816844800000002,runner_kw explicit: 
yolov8s,20,0.55331,0.35336,0.53671,0.60803,0.5701482979536224,11166560,28.816844800000002,runner_kw explicit: 
yolov8s,21,0.66112,0.40887,0.63628,0.66423,0.6499546553270255,11166560,28.816844800000002,runner_kw explicit: 
yolov8s,22,0.57051,0.34869,0.53951,0.58286,0.5603478328888332,11166560,28.816844800000002,runner_kw explicit: 
yolov8s,23,0.45607,0.27029,0.47973,0.52591,0.5017596839818406,11166560,28.816844800000002,runner_kw explicit: 
yolov8s,24,0.56682,0.34951,0.57435,0.60921,0.5912666252656467,11166560,28.816844800000002,runner_kw explicit: 
yolov8s,25,0.55662,0.33046,0.62227,0.5569,0.5877730318778565,11166560,28.816844800000002,runner_kw explicit: 
yolov8s,26,0.61648,0.36418,0.63939,0.61098,0.6248622442951887,11166560,28.816844800000002,runner_kw explicit: 
yolov8s,27,0.53734,0.34359,0.5786,0.54323,0.5603574124416708,11166560,28.816844800000002,runner_kw explicit: 
yolov8s,28,0.48459,0.2935,0.46158,0.53926,0.49740544102903816,11166560,28.816844800000002,runner_kw explicit: 
yolov8s,29,0.56866,0.35178,0.60268,0.58791,0.595203384539938,11166560,28.816844800000002,runner_kw explicit: 
