model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,35,0.54574,0.35066,0.49954,0.58034,0.5369171456082741,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,36,0.52249,0.33552,0.46829,0.58314,0.5194423415724114,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,37,0.53289,0.34043,0.47027,0.61808,0.53413788137958,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,38,0.54123,0.34832,0.46251,0.59731,0.5213372989748057,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,39,0.54373,0.34907,0.49607,0.57714,0.5335429968034834,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,40,0.58049,0.36882,0.56615,0.56732,0.5667343961458471,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,41,0.56048,0.3525,0.54092,0.59344,0.5659641820933689,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,42,0.55689,0.34737,0.53144,0.58393,0.556449894115355,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,43,0.55998,0.35325,0.50409,0.60286,0.5490685169153539,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,44,0.52373,0.33039,0.46214,0.58731,0.5172603619033616,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,45,0.5601,0.35103,0.52867,0.58571,0.5557301920345342,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,46,0.53011,0.3213,0.47262,0.58973,0.5247200877295385,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,47,0.56465,0.36835,0.5027,0.62773,0.5583005953481788,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,48,0.56111,0.3633,0.47612,0.59714,0.529806937367898,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,49,0.53223,0.33732,0.46463,0.61663,0.5299461681736771,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,50,0.56463,0.36021,0.49463,0.65491,0.5635961050502256,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,51,0.59383,0.38094,0.56167,0.59257,0.5767063901783193,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,52,0.56847,0.355,0.54785,0.60033,0.5728906451945053,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,53,0.55528,0.35319,0.52051,0.57031,0.5442732221626443,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,54,0.57181,0.36032,0.53973,0.62243,0.578137509292543,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,55,0.5698,0.37003,0.50498,0.62168,0.5572860781419795,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,56,0.5884,0.37639,0.55526,0.60286,0.5780817939414067,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,57,0.59173,0.37752,0.55133,0.63143,0.5886676957281369,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,58,0.58318,0.36956,0.58032,0.57756,0.5789367105394522,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,59,0.57617,0.36703,0.54485,0.6023,0.5721364337701501,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
