model_name,epoch,train_loss_sum,train_loss_box,train_loss_cls,train_loss_dfl,accuracy_mAP50,precision_mean,recall_mean,f1_mean,mAP50,mAP50_95,fitness,params,GFLOPs,data_aug_runner_explicit,data_aug_effective_summary,effective_mosaic,effective_mixup,effective_close_mosaic,effective_copy_paste,effective_cutmix,effective_degrees,effective_translate,effective_scale,effective_shear,effective_fliplr,effective_flipud,effective_hsv_h,effective_hsv_s,effective_hsv_v,effective_erasing,effective_auto_augment
yolov8m,23,4.1348782777786255,1.254850149154663,1.3552919626235962,1.5247361660003662,0.54021,0.56698,0.58071,0.573762872900719,0.54021,0.33922,0.33922,25902640,79.3204,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
yolov8m,24,4.128700494766235,1.2555862665176392,1.3525649309158325,1.5205492973327637,0.61465,0.58478,0.59551,0.5900962268590006,0.61465,0.36947,0.36947,25902640,79.3204,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
yolov8m,25,4.071332812309265,1.2444911003112793,1.3214123249053955,1.5054293870925903,0.54866,0.49505,0.62,0.550524191739787,0.54866,0.345,0.345,25902640,79.3204,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
yolov8m,26,4.010251522064209,1.2272741794586182,1.2893074750900269,1.493669867515564,0.6255,0.55985,0.69316,0.619413454002267,0.6255,0.39135,0.39135,25902640,79.3204,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
yolov8m,27,3.972206950187683,1.2194844484329224,1.2618932723999023,1.4908292293548584,0.62467,0.60513,0.63659,0.6204614674800917,0.62467,0.3872,0.3872,25902640,79.3204,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
yolov8m,28,3.9809197187423706,1.2263834476470947,1.2671520709991455,1.4873842000961304,0.62163,0.56459,0.67529,0.6149981951474215,0.62163,0.38289,0.38289,25902640,79.3204,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
yolov8m,29,3.979140877723694,1.2282283306121826,1.2636094093322754,1.4873031377792358,0.58712,0.50244,0.62538,0.5572093546837641,0.58712,0.36165,0.36165,25902640,79.3204,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
yolov8m,30,3.9582616090774536,1.2239433526992798,1.2408477067947388,1.493470549583435,0.54513,0.56887,0.6049,0.5863320122335838,0.54513,0.32943,0.32943,25902640,79.3204,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
yolov8m,31,3.879132866859436,1.2041443586349487,1.2016997337341309,1.4732887744903564,0.56435,0.52645,0.6341,0.5752823144193914,0.56435,0.34672,0.34672,25902640,79.3204,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
yolov8m,32,3.8774170875549316,1.2028181552886963,1.2059887647628784,1.468610167503357,0.57622,0.59137,0.57306,0.5820710428273215,0.57622,0.35419,0.35419,25902640,79.3204,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
