model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,36,0.50678,0.31801,0.4669,0.58774,0.5203971137065534,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,37,0.5555,0.34489,0.50835,0.63028,0.56278657333764,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,38,0.55289,0.35275,0.49409,0.60429,0.5436618403461974,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,39,0.62084,0.39382,0.59437,0.65079,0.6213017641101374,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,40,0.51898,0.32181,0.4621,0.54265,0.49914618561781615,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,41,0.59157,0.36035,0.5088,0.67623,0.5806871117182006,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,42,0.60887,0.37169,0.5952,0.57269,0.5837280702800917,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,43,0.58623,0.36939,0.52339,0.60286,0.560321234894064,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,44,0.57418,0.34546,0.5387,0.57897,0.5581095296459974,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,45,0.61219,0.38312,0.59913,0.64281,0.6202018701381546,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,46,0.56888,0.36417,0.54621,0.58696,0.565852293300594,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,47,0.6013,0.36798,0.58122,0.64528,0.6115770755804225,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,48,0.61772,0.3974,0.52824,0.60919,0.5658344260301154,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,49,0.55924,0.34326,0.50587,0.62904,0.5607712766646159,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,50,0.60458,0.38346,0.49161,0.6799,0.5706236207966038,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
