model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,36,0.55381,0.34174,0.49843,0.63569,0.5587538650226088,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,37,0.58169,0.35842,0.53967,0.61491,0.5748384342353281,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,38,0.58141,0.35453,0.56041,0.65111,0.6023648888993971,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,39,0.61523,0.39467,0.57411,0.67642,0.6210798400673146,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,40,0.53213,0.32371,0.46909,0.58293,0.5198506372497482,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,41,0.60746,0.38131,0.6288,0.61604,0.622354603000689,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,42,0.62966,0.39629,0.52627,0.68414,0.5949097542150222,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,43,0.63425,0.40071,0.5713,0.67459,0.6186633924338274,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,44,0.58692,0.36887,0.44719,0.64239,0.5273048038688969,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,45,0.61668,0.40277,0.59266,0.66184,0.6253425179747905,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,46,0.6061,0.38407,0.53442,0.65777,0.589713792935195,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,47,0.6261,0.38454,0.59163,0.63033,0.6103671771575089,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,48,0.63082,0.39918,0.54302,0.67857,0.6032745543098721,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,49,0.61747,0.38523,0.63902,0.59947,0.6186135041860502,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,50,0.61245,0.379,0.54101,0.64323,0.5877083400319295,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,51,0.66748,0.42624,0.59373,0.63386,0.6131390737944972,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,52,0.65504,0.41554,0.57948,0.70633,0.6366478848347448,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,53,0.63471,0.39856,0.57616,0.61596,0.5953956205746104,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,54,0.63628,0.39322,0.58785,0.6427,0.6140525699885303,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,55,0.63547,0.41525,0.63711,0.57017,0.601784190411005,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,56,0.628,0.39064,0.583,0.66841,0.6227903404954228,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,57,0.64527,0.41639,0.60217,0.66133,0.6303649958048037,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,58,0.64113,0.39557,0.55898,0.68286,0.6147411627902026,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,59,0.66757,0.41734,0.61277,0.69853,0.6528456159531358,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,60,0.67203,0.40522,0.66591,0.66286,0.6643814995818205,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,61,0.66326,0.40032,0.65431,0.65571,0.6550092519193179,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,62,0.63441,0.39258,0.66916,0.58969,0.6269165673427121,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,63,0.65883,0.41641,0.63763,0.66247,0.6498127007148298,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,64,0.64168,0.40573,0.56911,0.68143,0.6202258661053462,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,65,0.64538,0.40282,0.57541,0.69857,0.6310368509704776,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
