model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,36,0.62453,0.38547,0.61763,0.63033,0.6239153785372736,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,37,0.6372,0.39219,0.63996,0.63848,0.6392191433304345,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,38,0.65674,0.39292,0.64204,0.6602,0.6509933775643115,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,39,0.61958,0.37769,0.64307,0.6238,0.6332884447491588,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,40,0.60062,0.35508,0.65368,0.59559,0.6232844320278055,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,41,0.63405,0.38861,0.60379,0.66625,0.6334841225468225,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,42,0.59303,0.37144,0.6133,0.61714,0.6152140079966392,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,43,0.67158,0.40658,0.6485,0.66823,0.6582171819578363,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,44,0.65164,0.39064,0.61329,0.63887,0.6258187169366329,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,45,0.65208,0.3908,0.65015,0.64924,0.6496946813499798,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,46,0.68015,0.41641,0.6705,0.65972,0.6650663198563658,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,47,0.63003,0.38747,0.65212,0.63192,0.6418611108683204,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,48,0.7105,0.42985,0.63145,0.72941,0.6769042289429648,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,49,0.64612,0.38979,0.63972,0.67337,0.6561138328670113,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,50,0.67303,0.41346,0.69832,0.68804,0.6931418863782184,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,51,0.69344,0.42515,0.67261,0.67563,0.6741166176640107,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,52,0.69758,0.412,0.64384,0.71824,0.6790080488659409,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,53,0.67511,0.39939,0.70571,0.64427,0.6735918779532485,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,54,0.69318,0.42268,0.68368,0.69913,0.6913186893349835,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,55,0.67007,0.41091,0.67987,0.65285,0.6660860938526726,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,56,0.64523,0.39379,0.65081,0.64294,0.6468510630333164,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,57,0.65633,0.39323,0.65025,0.66982,0.6598899376543215,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,58,0.68941,0.42068,0.74701,0.64143,0.6902057334845652,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,59,0.70335,0.41702,0.67626,0.69808,0.6869967850745179,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,60,0.65829,0.40736,0.68401,0.63596,0.6591104337214791,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,61,0.66124,0.40463,0.62538,0.68562,0.6541159963381739,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,62,0.69796,0.42159,0.65681,0.72597,0.6896604748400399,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,63,0.68335,0.40825,0.69835,0.65609,0.6765607210355006,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,64,0.65548,0.3913,0.69028,0.65853,0.6740313141208368,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,65,0.67391,0.40851,0.6623,0.70083,0.6810204587965336,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,66,0.704,0.42976,0.67108,0.71756,0.6935421200594152,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,67,0.68525,0.41268,0.69432,0.64575,0.66915480534549,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,68,0.64432,0.38998,0.64055,0.6673,0.6536514355616824,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
