model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,1,0.20605,0.11394,0.38555,0.1933,0.2574995767465535,25905952,79.4180608,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,2,0.0949,0.04784,0.06863,0.3141,0.11264694693357549,25905952,79.4180608,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,3,0.17363,0.0809,0.36005,0.18625,0.24550361522927786,25905952,79.4180608,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,4,0.09714,0.0511,0.11189,0.16467,0.13324360934287952,25905952,79.4180608,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,5,0.32133,0.18204,0.25511,0.36811,0.30136562401671746,25905952,79.4180608,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,6,0.35806,0.21409,0.33542,0.47264,0.39237905304013027,25905952,79.4180608,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,7,0.26316,0.15896,0.2883,0.31977,0.303220652227041,25905952,79.4180608,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,8,0.44878,0.26144,0.44399,0.49212,0.46681770048341886,25905952,79.4180608,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,9,0.30178,0.17165,0.49983,0.30711,0.38045651795625396,25905952,79.4180608,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,10,0.42776,0.25299,0.5273,0.39798,0.4536029180351315,25905952,79.4180608,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,11,0.41752,0.24977,0.4058,0.49263,0.44501909775892945,25905952,79.4180608,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,12,0.54104,0.32192,0.50796,0.63286,0.5635728083303556,25905952,79.4180608,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,13,0.46944,0.27587,0.42127,0.5995,0.4948252103799144,25905952,79.4180608,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,14,0.48502,0.28922,0.46911,0.60652,0.5290380469115504,25905952,79.4180608,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,15,0.49304,0.30019,0.46725,0.54349,0.5024946128574089,25905952,79.4180608,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,16,0.4199,0.25229,0.37867,0.48024,0.42344944359662423,25905952,79.4180608,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,17,0.50259,0.31735,0.46972,0.54648,0.5052009163545511,25905952,79.4180608,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,18,0.48919,0.29113,0.52321,0.52565,0.5244271618704837,25905952,79.4180608,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,19,0.53032,0.30458,0.48153,0.56874,0.5215142243418154,25905952,79.4180608,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,20,0.58098,0.36935,0.54162,0.6083,0.5730267253369163,25905952,79.4180608,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,21,0.52734,0.32045,0.5119,0.59396,0.5498853815125333,25905952,79.4180608,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,22,0.50889,0.31071,0.53097,0.57316,0.551258937262323,25905952,79.4180608,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,23,0.59157,0.37777,0.54657,0.6109,0.5769473299518977,25905952,79.4180608,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,24,0.57079,0.34821,0.54176,0.59424,0.5667877859149939,25905952,79.4180608,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,25,0.58809,0.37922,0.56115,0.62658,0.5920627869965462,25905952,79.4180608,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,26,0.64055,0.39129,0.59413,0.66007,0.6253665908143635,25905952,79.4180608,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,27,0.5644,0.33981,0.56988,0.61849,0.5931908095958387,25905952,79.4180608,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,28,0.56168,0.34169,0.5584,0.6018,0.5792882606442171,25905952,79.4180608,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,29,0.61304,0.36713,0.58445,0.63334,0.6079136189321576,25905952,79.4180608,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,30,0.65962,0.39737,0.62314,0.67468,0.6478866024559277,25905952,79.4180608,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
