model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,36,0.57504,0.35883,0.50668,0.65587,0.5717022263123549,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,37,0.61425,0.38941,0.60099,0.57569,0.5880680101636909,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,38,0.59687,0.37919,0.55909,0.63458,0.5944479331803644,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,39,0.65469,0.42139,0.61205,0.65675,0.6336126063992483,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,40,0.58548,0.37186,0.52972,0.55613,0.542603828520935,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,41,0.63241,0.40379,0.56152,0.63642,0.5966284762170087,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,42,0.60425,0.37871,0.5407,0.63015,0.5820081223038116,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,43,0.62704,0.3992,0.54741,0.63601,0.5883933584014226,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,44,0.59915,0.3806,0.52393,0.62,0.5679309048625631,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,45,0.57738,0.3597,0.52345,0.63429,0.573564186258941,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,46,0.6079,0.38331,0.59523,0.63496,0.6144534434513251,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,47,0.61468,0.38706,0.64114,0.61286,0.6266811170648909,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,48,0.60099,0.39046,0.49255,0.63017,0.5529254551441563,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,49,0.60947,0.37816,0.60003,0.61817,0.6089649402391979,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,50,0.61353,0.38137,0.57011,0.59505,0.5823130823229579,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,51,0.63498,0.40633,0.57583,0.65002,0.6106799634534318,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,52,0.64198,0.39978,0.66297,0.60306,0.6315974948455948,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,53,0.65567,0.41104,0.56368,0.71714,0.6312166818127206,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,54,0.6587,0.42004,0.63291,0.64714,0.6399459043001132,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,55,0.60946,0.39056,0.54528,0.59612,0.5695677476777907,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,56,0.66343,0.41998,0.60216,0.65111,0.6256790597392216,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,57,0.62283,0.39089,0.5923,0.65343,0.6213651256687875,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,58,0.66827,0.41652,0.61572,0.66749,0.6405606920140581,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,59,0.63494,0.39084,0.59695,0.68627,0.6385013894728585,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,60,0.64255,0.39667,0.59338,0.65226,0.6214284043538892,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,61,0.6587,0.4102,0.63391,0.62574,0.6297985049810424,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,62,0.62286,0.38671,0.59835,0.65206,0.6240514727164498,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,63,0.65911,0.41439,0.61546,0.65223,0.6333117336252291,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,64,0.64982,0.40037,0.61068,0.62429,0.6174100054247329,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,65,0.61885,0.38341,0.59062,0.61914,0.6045438215839467,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
